name,owner,stars,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,closedIssues,totalIssues
freeCodeCamp,freeCodeCamp,384626,2014-12-24T17:49:19Z,2024-03-06T19:37:22Z,TypeScript,21833,,17427,17694
free-programming-books,EbookFoundation,314622,2013-10-11T06:50:37Z,2024-03-06T19:48:25Z,,6440,,1038,1062
awesome,sindresorhus,292787,2014-07-11T13:42:37Z,2024-03-06T19:54:31Z,,641,,312,334
public-apis,public-apis,284460,2016-03-20T23:49:42Z,2024-03-06T19:49:30Z,Python,1871,,548,559
coding-interview-university,jwasham,279441,2016-06-06T02:34:12Z,2024-03-06T19:57:00Z,,397,,369,414
996.ICU,996icu,268670,2019-03-26T07:31:14Z,2024-03-06T15:19:35Z,,1066,,0,0
developer-roadmap,kamranahmedse,268100,2017-03-15T13:45:52Z,2024-03-06T19:50:04Z,TypeScript,1787,,1068,1803
build-your-own-x,codecrafters-io,248827,2018-05-09T12:03:18Z,2024-03-06T19:25:49Z,,133,,426,603
system-design-primer,donnemartin,248268,2017-02-26T16:15:28Z,2024-03-06T19:55:54Z,Python,196,,80,277
react,facebook,219703,2013-05-24T16:15:54Z,2024-03-06T19:35:42Z,JavaScript,9734,,11554,12727
vue,vuejs,206492,2013-07-29T03:24:51Z,2024-03-06T16:38:55Z,TypeScript,1133,,9657,10013
awesome-python,vinta,200064,2014-06-27T21:00:06Z,2024-03-06T19:54:41Z,Python,540,,0,0
tensorflow,tensorflow,181151,2015-11-07T01:19:20Z,2024-03-06T19:31:44Z,C++,16442,,36889,38785
javascript-algorithms,trekhleb,180655,2018-03-24T07:47:04Z,2024-03-06T19:27:49Z,JavaScript,282,,215,339
Python,TheAlgorithms,176299,2016-07-16T09:44:01Z,2024-03-06T19:37:29Z,Python,2724,,1411,1439
You-Dont-Know-JS,getify,175303,2013-11-16T02:37:24Z,2024-03-06T19:48:17Z,,365,,844,924
awesome-selfhosted,awesome-selfhosted,171549,2015-06-01T02:33:17Z,2024-03-06T19:55:48Z,,2395,,804,804
CS-Notes,CyC2018,171029,2018-02-13T14:56:24Z,2024-03-06T19:06:35Z,,375,,446,576
ohmyzsh,ohmyzsh,167321,2009-08-28T18:15:37Z,2024-03-06T19:37:30Z,Shell,3066,,4520,4645
linux,torvalds,167080,2011-09-04T22:48:12Z,2024-03-06T19:50:54Z,C,9,,0,0
bootstrap,twbs,167015,2011-07-29T21:19:00Z,2024-03-06T19:39:59Z,JavaScript,8647,,21905,22300
flutter,flutter,160492,2015-03-06T22:54:58Z,2024-03-06T19:47:32Z,Dart,36099,,80206,92453
computer-science,ossu,160010,2014-05-04T00:18:39Z,2024-03-06T19:26:40Z,,252,,612,627
project-based-learning,practical-tutorials,159131,2017-04-12T05:07:46Z,2024-03-06T19:44:37Z,,182,,64,116
AutoGPT,Significant-Gravitas,158642,2023-03-16T09:21:07Z,2024-03-06T19:48:09Z,JavaScript,1524,,2081,2165
vscode,microsoft,156777,2015-09-03T20:23:38Z,2024-03-06T19:37:18Z,TypeScript,23304,,165050,172496
gitignore,github,156252,2010-11-08T20:17:14Z,2024-03-06T19:48:43Z,,1523,,0,0
Python-100-Days,jackfrued,148047,2018-03-01T16:05:52Z,2024-03-06T16:27:41Z,Python,13,,106,629
the-art-of-command-line,jlevy,145899,2015-05-20T15:11:03Z,2024-03-06T17:43:44Z,,317,,131,239
JavaGuide,Snailclimb,141296,2018-05-07T13:27:00Z,2024-03-06T17:27:29Z,Java,966,,919,976
javascript,airbnb,140704,2012-11-01T23:13:50Z,2024-03-06T18:45:23Z,JavaScript,802,,1205,1295
